date|parish|commodity|variety source|low|high|most frequent|supply|grade
june_26_2021|St. James|cantaloupe|local|-|-|-|-|-
june_26_2021|St. James|carrot|local|-|-|-|-|-
june_26_2021|St. James|cauliflower|local|-|-|-|-|-
june_26_2021|St. James|coco|local|264|286|264|scarce|excellent
june_26_2021|St. James|cucumber|local|-|-|-|-|-
june_26_2021|St. James|dasheen|local|264|308|286|scarce|excellent
june_26_2021|St. James|escallion|local|-|-|-|-|-
june_26_2021|St. James|ginger|local|398|440|440|scarce|excellent
june_26_2021|St. James|green banana|local|55|77|66|fair|excellent
june_26_2021|St. James|gungo peas|dry|-|-|-|-|-
june_26_2021|St. James|gungo peas|green|-|-|-|-|-
june_26_2021|St. James|honeydew melon|local|-|-|-|-|-
june_26_2021|St. James|irish potato|local|-|-|-|-|-
june_26_2021|St. James|lettuce|iceberg (local)|660|770|660|scarce|excellent
june_26_2021|St. James|lettuce|other|-|-|-|-|-
june_26_2021|St. James|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|St. James|okra|local|-|-|-|-|-
june_26_2021|St. James|onion|local|-|-|-|-|-
june_26_2021|St. James|pak choi|local|176|198|176|scarce|excellent
june_26_2021|St. James|papaya|local|154|176|154|moderate|excellent
june_26_2021|St. James|pepper|scotch bonnet|176|275|264|average|excellent
june_26_2021|St. James|pepper|west indian red|-|-|-|-|-
june_26_2021|St. James|pineapple|cow boy|66|110|88|good|excellent
june_26_2021|St. James|pineapple|md 2|110|110|110|moderate|excellent
june_26_2021|St. James|pineapple|sugar loaf|110|110|110|average|excellent
june_26_2021|St. James|plantain|green|110|154|154|moderate|excellent
june_26_2021|St. James|plantain|ripe|-|-|-|-|-
june_26_2021|St. James|pumpkin|local|110|132|110|fair|excellent
june_26_2021|St. James|sorrel|local|-|-|-|-|-
june_26_2021|St. James|string bean|local|-|-|-|-|-
june_26_2021|St. James|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|St. James|sweet pepper (green)|local|-|-|-|-|-
june_26_2021|St. James|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|St. James|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|St. James|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|St. James|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|St. James|sweet potato|local|-|-|-|-|-
june_26_2021|St. James|thyme|local|-|-|-|-|-
june_26_2021|St. James|tomatoes(plummy)|local|-|-|-|-|-
june_26_2021|St. James|tomatoes(salad)|local|-|-|-|-|-
june_26_2021|St. James|watermelon|local|-|-|-|-|-
june_26_2021|St. James|yam|negro|-|-|-|-|-
june_26_2021|St. James|yam|sweet|-|-|-|-|-
june_26_2021|St. James|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. James|yam|yellow|-|-|-|-|-
june_26_2021|Trelawny|broccoli|local|-|-|-|-|-
june_26_2021|Trelawny|cabbage (green)|local|77|99|88|fair|excellent
june_26_2021|Trelawny|cabbage (red)|local|-|-|-|-|-
june_26_2021|Trelawny|callaloo|shredded|-|-|-|-|-
june_26_2021|Trelawny|callaloo|whole|-|-|-|-|-
june_26_2021|Trelawny|cantaloupe|local|-|-|-|-|-
june_26_2021|Trelawny|carrot|local|110|132|121|fair|excellent
june_26_2021|Trelawny|cauliflower|local|-|-|-|-|-
june_26_2021|Trelawny|coco|local|220|264|242|scarce|excellent
june_26_2021|Trelawny|cucumber|local|-|-|-|-|-
june_26_2021|Trelawny|dasheen|local|-|-|-|-|-
june_26_2021|Trelawny|escallion|local|-|-|-|-|-
