date|parish|commodity|variety source|low|high|most frequent|supply|grade
march_06_2021|St. Catherine|yam|negro|-|-|-|-|-
march_06_2021|St. Catherine|yam|sweet|-|-|-|-|-
march_06_2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
march_06_2021|St. Catherine|yam|yellow|110|132|132|scarce|excellent
march_06_2021|Clarendon|broccoli|local|-|-|-|-|-
march_06_2021|Clarendon|cabbage (green)|local|66|132|110|moderate|excellent
march_06_2021|Clarendon|cabbage (red)|local|-|-|-|-|-
march_06_2021|Clarendon|callaloo|shredded|-|-|-|-|-
march_06_2021|Clarendon|callaloo|whole|66|88|77|moderate|excellent
march_06_2021|Clarendon|cantaloupe|local|-|-|-|-|-
march_06_2021|Clarendon|carrot|local|176|286|198|moderate|excellent
march_06_2021|Clarendon|cauliflower|local|-|-|-|-|-
march_06_2021|Clarendon|coco|local|154|220|220|moderate|excellent
march_06_2021|Clarendon|cucumber|local|88|132|110|moderate|excellent
march_06_2021|Clarendon|dasheen|local|154|264|176|moderate|excellent
march_06_2021|Clarendon|escallion|local|-|-|-|-|-
march_06_2021|Clarendon|ginger|local|264|374|286|moderate|excellent
march_06_2021|Clarendon|green banana|local|55|88|66|moderate|excellent
march_06_2021|Clarendon|gungo peas|dry|-|-|-|-|-
march_06_2021|Clarendon|gungo peas|green|-|-|-|-|-
march_06_2021|Clarendon|honeydew melon|local|-|-|-|-|-
march_06_2021|Clarendon|irish potato|local|154|176|176|moderate|excellent
march_06_2021|Clarendon|lettuce|iceberg (local)|110|154|110|moderate|excellent
march_06_2021|Clarendon|lettuce|other|-|-|-|-|-
march_06_2021|Clarendon|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|Clarendon|okra|local|220|220|220|moderate|excellent
march_06_2021|Clarendon|onion|local|-|-|-|-|-
march_06_2021|Clarendon|pak choi|local|88|110|88|moderate|excellent
march_06_2021|Clarendon|papaya|local|-|-|-|-|-
march_06_2021|Clarendon|pepper|scotch bonnet|330|440|440|moderate|excellent
march_06_2021|Clarendon|pepper|west indian red|-|-|-|-|-
march_06_2021|Clarendon|pineapple|cow boy|-|-|-|-|-
march_06_2021|Clarendon|pineapple|md 2|-|-|-|-|-
march_06_2021|Clarendon|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|Clarendon|plantain|green|110|154|132|moderate|excellent
march_06_2021|Clarendon|plantain|ripe|-|-|-|-|-
march_06_2021|Clarendon|pumpkin|local|132|220|176|moderate|excellent
march_06_2021|Clarendon|sorrel|local|374|440|440|moderate|excellent
march_06_2021|Clarendon|string bean|local|132|220|154|moderate|excellent
march_06_2021|Clarendon|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|Clarendon|sweet pepper (green)|local|264|440|440|moderate|excellent
march_06_2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
march_06_2021|Clarendon|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
march_06_2021|Clarendon|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|Clarendon|sweet potato|local|110|176|132|moderate|excellent
march_06_2021|Clarendon|thyme|local|-|-|-|-|-
march_06_2021|Clarendon|tomatoes(plummy)|local|33|66|49.5|good|excellent
march_06_2021|Clarendon|tomatoes(salad)|local|66|110|88|good|excellent
march_06_2021|Clarendon|watermelon|local|-|-|-|-|-
march_06_2021|Clarendon|yam|negro|-|-|-|-|-
march_06_2021|Clarendon|yam|sweet|330|330|330|moderate|excellent
march_06_2021|Clarendon|yam|white (lucea)|-|-|-|-|-
march_06_2021|Clarendon|yam|yellow|110|176|132|moderate|excellent
march_06_2021|St. Elizabeth|broccoli|local|770|880|825|moderate|excellent
march_06_2021|St. Elizabeth|cabbage (green)|local|88|110|99|moderate|excellent
march_06_2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
march_06_2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
march_06_2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
march_06_2021|St. Elizabeth|cantaloupe|local|154|176|165|moderate|excellent
march_06_2021|St. Elizabeth|carrot|local|220|286|264|moderate|excellent
march_06_2021|St. Elizabeth|cauliflower|local|440|550|495|moderate|excellent
march_06_2021|St. Elizabeth|coco|local|220|264|242|moderate|excellent
march_06_2021|St. Elizabeth|cucumber|local|66|99|88|moderate|excellent
march_06_2021|St. Elizabeth|dasheen|local|176|220|198|moderate|excellent
march_06_2021|St. Elizabeth|escallion|local|176|264|209|moderate|excellent
march_06_2021|St. Elizabeth|ginger|local|330|396|359.33|moderate|excellent
march_06_2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
march_06_2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
march_06_2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
march_06_2021|St. Elizabeth|honeydew melon|local|176|198|187|moderate|excellent
march_06_2021|St. Elizabeth|irish potato|local|-|-|-|-|-
march_06_2021|St. Elizabeth|lettuce|iceberg (local)|154|176|165|moderate|excellent
march_06_2021|St. Elizabeth|lettuce|other|-|-|-|-|-
march_06_2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|St. Elizabeth|okra|local|-|-|-|-|-
march_06_2021|St. Elizabeth|onion|local|-|-|-|-|-
march_06_2021|St. Elizabeth|pak choi|local|-|-|-|-|-
march_06_2021|St. Elizabeth|papaya|local|110|154|132|moderate|excellent
march_06_2021|St. Elizabeth|pepper|scotch bonnet|440|660|550|moderate|excellent
march_06_2021|St. Elizabeth|pepper|west indian red|132|176|154|moderate|excellent
march_06_2021|St. Elizabeth|pineapple|cow boy|154|176|165|moderate|excellent
march_06_2021|St. Elizabeth|pineapple|md 2|198|264|220|moderate|excellent
march_06_2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|St. Elizabeth|plantain|green|132|154|143|moderate|excellent
march_06_2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
march_06_2021|St. Elizabeth|pumpkin|local|110|154|132|moderate|excellent
march_06_2021|St. Elizabeth|sorrel|local|-|-|-|-|-
march_06_2021|St. Elizabeth|string bean|local|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet pepper (green)|local|330|440|341|moderate|excellent
march_06_2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|St. Elizabeth|sweet potato|local|154|220|198|moderate|excellent
march_06_2021|St. Elizabeth|thyme|local|440|660|495|moderate|excellent
march_06_2021|St. Elizabeth|tomatoes(plummy)|local|44|77|66|moderate|excellent
march_06_2021|St. Elizabeth|tomatoes(salad)|local|110|132|121|moderate|excellent
march_06_2021|St. Elizabeth|watermelon|local|154|176|165|moderate|excellent
march_06_2021|St. Elizabeth|yam|negro|-|-|-|-|-
march_06_2021|St. Elizabeth|yam|sweet|-|-|-|-|-
march_06_2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
march_06_2021|St. Elizabeth|yam|yellow|-|-|-|-|-
march_06_2021|Westmoreland|broccoli|local|-|-|-|-|-
march_06_2021|Westmoreland|cabbage (green)|local|132|154|132|moderate|excellent
march_06_2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
march_06_2021|Westmoreland|callaloo|shredded|-|-|-|-|-
march_06_2021|Westmoreland|callaloo|whole|110|132|110|moderate|excellent
march_06_2021|Westmoreland|cantaloupe|local|-|-|-|-|-
march_06_2021|Westmoreland|carrot|local|330|396|330|scarce|excellent
march_06_2021|Westmoreland|cauliflower|local|-|-|-|-|-
march_06_2021|Westmoreland|coco|local|220|264|220|scarce|excellent
march_06_2021|Westmoreland|cucumber|local|132|176|154|moderate|excellent
march_06_2021|Westmoreland|dasheen|local|110|154|132|moderate|excellent
march_06_2021|Westmoreland|escallion|local|-|-|-|-|-
march_06_2021|Westmoreland|ginger|local|330|330|330|fair|excellent
march_06_2021|Westmoreland|green banana|local|110|132|110|moderate|excellent
march_06_2021|Westmoreland|gungo peas|dry|-|-|-|-|-
march_06_2021|Westmoreland|gungo peas|green|-|-|-|-|-
march_06_2021|Westmoreland|honeydew melon|local|-|-|-|-|-
march_06_2021|Westmoreland|irish potato|local|154|176|165|moderate|excellent
march_06_2021|Westmoreland|lettuce|iceberg (local)|220|286|256.67|scarce|excellent
march_06_2021|Westmoreland|lettuce|other|-|-|-|-|-
march_06_2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|Westmoreland|okra|local|220|286|264|scarce|excellent
march_06_2021|Westmoreland|onion|local|-|-|-|-|-
march_06_2021|Westmoreland|pak choi|local|110|132|110|fair|excellent
march_06_2021|Westmoreland|papaya|local|132|176|165|fair|excellent
march_06_2021|Westmoreland|pepper|scotch bonnet|550|550|550|scarce|excellent
march_06_2021|Westmoreland|pepper|west indian red|220|220|220|moderate|excellent
march_06_2021|Westmoreland|pineapple|cow boy|132|154|132|moderate|excellent
march_06_2021|Westmoreland|pineapple|md 2|-|-|-|-|-
march_06_2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|Westmoreland|plantain|green|132|176|176|moderate|excellent
march_06_2021|Westmoreland|plantain|ripe|-|-|-|-|-
march_06_2021|Westmoreland|pumpkin|local|154|176|176|scarce|excellent
march_06_2021|Westmoreland|sorrel|local|-|-|-|-|-
march_06_2021|Westmoreland|string bean|local|-|-|-|-|-
march_06_2021|Westmoreland|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|Westmoreland|sweet pepper (green)|local|396|440|440|scarce|excellent
march_06_2021|Westmoreland|sweet pepper (red)|green house (local)|880|880|880|scarce|excellent
march_06_2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|Westmoreland|sweet pepper (yellow)|green house (local)|880|880|880|scarce|excellent
march_06_2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|Westmoreland|sweet potato|local|176|198|176|scarce|excellent
march_06_2021|Westmoreland|thyme|local|-|-|-|-|-
march_06_2021|Westmoreland|tomatoes(plummy)|local|44|66|66|fair|excellent
march_06_2021|Westmoreland|tomatoes(salad)|local|110|110|110|moderate|excellent
march_06_2021|Westmoreland|watermelon|local|-|-|-|-|-
march_06_2021|Westmoreland|yam|negro|-|-|-|-|-
march_06_2021|Westmoreland|yam|sweet|-|-|-|-|-
march_06_2021|Westmoreland|yam|white (lucea)|-|-|-|-|-
march_06_2021|Westmoreland|yam|yellow|154|198|176|scarce|excellent
march_06_2021|Hanover|broccoli|local|-|-|-|-|-
march_06_2021|Hanover|cabbage (green)|local|99|132|121|moderate|excellent
march_06_2021|Hanover|cabbage (red)|local|-|-|-|-|-
march_06_2021|Hanover|callaloo|shredded|-|-|-|-|-
march_06_2021|Hanover|callaloo|whole|55|99|77|moderate|excellent
march_06_2021|Hanover|cantaloupe|local|-|-|-|-|-
march_06_2021|Hanover|carrot|local|330|440|341|moderate|excellent
march_06_2021|Hanover|cauliflower|local|-|-|-|-|-
march_06_2021|Hanover|coco|local|154|220|187|moderate|excellent
march_06_2021|Hanover|cucumber|local|66|110|88|moderate|excellent
march_06_2021|Hanover|dasheen|local|110|176|132|moderate|excellent
march_06_2021|Hanover|escallion|local|-|-|-|-|-
march_06_2021|Hanover|ginger|local|264|330|308|moderate|excellent
march_06_2021|Hanover|green banana|local|99|132|110|moderate|excellent
march_06_2021|Hanover|gungo peas|dry|-|-|-|-|-
march_06_2021|Hanover|gungo peas|green|-|-|-|-|-
march_06_2021|Hanover|honeydew melon|local|-|-|-|-|-
march_06_2021|Hanover|irish potato|local|-|-|-|-|-
march_06_2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
march_06_2021|Hanover|lettuce|other|-|-|-|-|-
march_06_2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|Hanover|okra|local|176|330|220|moderate|excellent
march_06_2021|Hanover|onion|local|-|-|-|-|-
march_06_2021|Hanover|pak choi|local|44|110|66|moderate|excellent
march_06_2021|Hanover|papaya|local|-|-|-|-|-
march_06_2021|Hanover|pepper|scotch bonnet|220|330|220|moderate|excellent
march_06_2021|Hanover|pepper|west indian red|88|132|110|moderate|excellent
march_06_2021|Hanover|pineapple|cow boy|132|220|165|moderate|excellent
march_06_2021|Hanover|pineapple|md 2|-|-|-|-|-
march_06_2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|Hanover|plantain|green|176|220|176|moderate|excellent
march_06_2021|Hanover|plantain|ripe|-|-|-|-|-
march_06_2021|Hanover|pumpkin|local|99|110|110|moderate|excellent
march_06_2021|Hanover|sorrel|local|-|-|-|-|-
march_06_2021|Hanover|string bean|local|176|264|220|moderate|excellent
march_06_2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|Hanover|sweet pepper (green)|local|264|352|330|moderate|excellent
march_06_2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
march_06_2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
march_06_2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|Hanover|sweet potato|local|154|264|176|moderate|excellent
march_06_2021|Hanover|thyme|local|-|-|-|-|-
march_06_2021|Hanover|tomatoes(plummy)|local|44|88|66|moderate|excellent
march_06_2021|Hanover|tomatoes(salad)|local|99|110|99|moderate|excellent
march_06_2021|Hanover|watermelon|local|-|-|-|-|-
march_06_2021|Hanover|yam|negro|-|-|-|-|-
march_06_2021|Hanover|yam|sweet|-|-|-|-|-
march_06_2021|Hanover|yam|white (lucea)|176|220|198|moderate|excellent
march_06_2021|Hanover|yam|yellow|176|220|198|moderate|excellent
march_06_2021|St. James|broccoli|local|-|-|-|-|-
march_06_2021|St. James|cabbage (green)|local|88|132|110|fair|excellent
march_06_2021|St. James|cabbage (red)|local|-|-|-|-|-
march_06_2021|St. James|callaloo|shredded|-|-|-|-|-
march_06_2021|St. James|callaloo|whole|88|132|121|moderate|excellent
march_06_2021|St. James|cantaloupe|local|-|-|-|-|-
march_06_2021|St. James|carrot|local|-|-|-|-|-
march_06_2021|St. James|cauliflower|local|-|-|-|-|-
march_06_2021|St. James|coco|local|-|-|-|-|-
march_06_2021|St. James|cucumber|local|-|-|-|-|-
march_06_2021|St. James|dasheen|local|220|220|220|good|excellent
march_06_2021|St. James|escallion|local|-|-|-|-|-
march_06_2021|St. James|ginger|local|242|330|330|moderate|excellent
march_06_2021|St. James|green banana|local|66|88|77|scarce|excellent
march_06_2021|St. James|gungo peas|dry|-|-|-|-|-
march_06_2021|St. James|gungo peas|green|-|-|-|-|-
march_06_2021|St. James|honeydew melon|local|-|-|-|-|-
march_06_2021|St. James|irish potato|local|-|-|-|-|-
march_06_2021|St. James|lettuce|iceberg (local)|220|264|220|average|excellent
march_06_2021|St. James|lettuce|other|-|-|-|-|-
march_06_2021|St. James|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|St. James|okra|local|330|374|330|moderate|excellent
march_06_2021|St. James|onion|local|-|-|-|-|-
march_06_2021|St. James|pak choi|local|110|110|110|fair|excellent
march_06_2021|St. James|papaya|local|132|176|165|scarce|excellent
march_06_2021|St. James|pepper|scotch bonnet|440|660|495|scarce|excellent
march_06_2021|St. James|pepper|west indian red|-|-|-|-|-
march_06_2021|St. James|pineapple|cow boy|110|132|132|fair|excellent
march_06_2021|St. James|pineapple|md 2|-|-|-|-|-
march_06_2021|St. James|pineapple|sugar loaf|132|154|154|moderate|excellent
march_06_2021|St. James|plantain|green|132|154|154|scarce|excellent
march_06_2021|St. James|plantain|ripe|-|-|-|-|-
march_06_2021|St. James|pumpkin|local|154|176|154|scarce|excellent
march_06_2021|St. James|sorrel|local|-|-|-|-|-
march_06_2021|St. James|string bean|local|-|-|-|-|-
march_06_2021|St. James|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|St. James|sweet pepper (green)|local|330|440|330|scarce|excellent
march_06_2021|St. James|sweet pepper (red)|green house (local)|-|-|-|-|-
march_06_2021|St. James|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|St. James|sweet pepper (yellow)|green house (local)|-|-|-|-|-
march_06_2021|St. James|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|St. James|sweet potato|local|-|-|-|-|-
march_06_2021|St. James|thyme|local|-|-|-|-|-
march_06_2021|St. James|tomatoes(plummy)|local|66|88|88|fair|excellent
march_06_2021|St. James|tomatoes(salad)|local|-|-|-|-|-
march_06_2021|St. James|watermelon|local|-|-|-|-|-
march_06_2021|St. James|yam|negro|-|-|-|-|-
march_06_2021|St. James|yam|sweet|-|-|-|-|-
march_06_2021|St. James|yam|white (lucea)|-|-|-|-|-
march_06_2021|St. James|yam|yellow|176|220|220|moderate|excellent
march_06_2021|Trelawny|broccoli|local|-|-|-|-|-
march_06_2021|Trelawny|cabbage (green)|local|132|176|154|moderate|excellent
march_06_2021|Trelawny|cabbage (red)|local|-|-|-|-|-
march_06_2021|Trelawny|callaloo|shredded|-|-|-|-|-
march_06_2021|Trelawny|callaloo|whole|-|-|-|-|-
march_06_2021|Trelawny|cantaloupe|local|-|-|-|-|-
march_06_2021|Trelawny|carrot|local|198|242|220|moderate|excellent
march_06_2021|Trelawny|cauliflower|local|-|-|-|-|-
march_06_2021|Trelawny|coco|local|-|-|-|-|-
march_06_2021|Trelawny|cucumber|local|88|110|99|moderate|excellent
march_06_2021|Trelawny|dasheen|local|-|-|-|-|-
