"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending February 06, 2021"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Sweet Pepper (Green)||Local||||286||396||330|Moderate|||Excellent|440|440|440|Fair||Excellent
Sweet Pepper (Red)||Green House (Local)||||660||880||660|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||660||880||660|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||110||176||110|Fair|||Excellent|-|-|-|-||-
Thyme||Local||||770||880||825|Moderate|||Excellent|1100|1320|1100|Fair||Excellent
Tomatoes(Plummy)||Local||||44||66||44|Good|||Excellent|44|66|44|Fair||Excellent
Tomatoes(Salad)||Local||||132||220||176|Scarce|||Excellent|110|176|110|Fair||Excellent
Watermelon||Local||||220||286||286|Scarce|||Excellent|-|-|-|-||-
Yam||Negro||||154||176||165|Scarce|||Excellent|-|-|-|-||-
Yam||Sweet||||550||550||550|Scarce|||Excellent|-|-|-|-||-
Yam||White (Lucea)||||-||-||-|-|||-|-|-|-|-||-
Yam||Yellow||||132||154||143|Fair|||Excellent|132|132|132|Fair||Excellent
||||||||||||||||||||
Prepared on 2/4/2021 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
