Sweet Pepper (Green)||Local||||770||880||825|Scarce|||Excellent|880|880|880|Fair||Excellent
Sweet Pepper (Red)||Green House (Local)||||770||880||825|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||770||880||825|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||176||242||176|Moderate|||Excellent|-|-|-|-||-
Thyme||Local||||770||880||880|Scarce|||Excellent|-|-|-|-||-
Tomatoes(Plummy)||Local||||484||550||517|Scarce|||Excellent|880|880|880|Fair||Excellent
Tomatoes(Salad)||Local||||550||660||605|Scarce|||Excellent|880|880|880|Fair||Excellent
Watermelon||Local||||-||-||-|-|||-|-|-|-|-||-
Yam||Negro||||176||220||198|Moderate|||Excellent|-|-|-|-||-
Yam||Sweet||||550||550||550|Scarce|||Excellent|-|-|-|-||-
Yam||White (Lucea)||||154||198||198|Moderate|||Excellent|-|-|-|-||-
Yam||Yellow||||176||220||198|Fair|||Excellent|-|-|-|-||-
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||St. Catherine|||||||||Clarendon|||||
||||||Low||High||Most Frequent|Supply|||Grade|Low|High|Most Frequent|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|-|-|-|-||-
||||||||||||||||||||
Cabbage (Green)||Local||||176||176||176|Scarce|||Excellent|154|330|220|Moderate||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||55||66||55|Scarce|||Excellent|132|220|176|Moderate||Excellent
Cantaloupe||Local||||-||-||-|-|||-|-|-|-|-||-
Carrot||Local||||-||-||-|-|||-|330|550|440|Moderate||Excellent
Cauliflower||Local||||-||-||-|-|||-|-|-|-|-||-
Coco||Local||||-||-||-|-|||-|176|330|330|Moderate||Excellent
Cucumber||Local||||-||-||-|-|||-|132|264|176|Moderate||Excellent
Dasheen||Local||||-||-||-|-|||-|176|440|286|Moderate||Excellent
Escallion||Local||||-||-||-|-|||-|-|-|-|-||-
Ginger||Local||||440||440||440|Scarce|||Excellent|220|440|440|Moderate||Excellent
Green Banana||Local||||-||-||-|-|||-|55|110|66|Moderate||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||-||-||-|-|||-|220|264|264|Moderate||Excellent
Lettuce||Iceberg (Local)||||-||-||-|-|||-|440|1100|880|Moderate||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||-||-||-|-|||-|-|-|-|-||-
Okra||Local||||330||330||330|Scarce|||Excellent|220|440|330|Moderate||Excellent
Onion||Local||||-||-||-|-|||-|330|440|385|Moderate||Excellent
Pak Choi||Local||||198||220||220|Scarce|||Excellent|110|264|170.5|Moderate||Excellent
Papaya||Local||||-||-||-|-|||-|-|-|-|-||-
Pepper||Scotch Bonnet||||660||880||660|Scarce|||Excellent|440|660|495|Moderate||Excellent
Pepper||West Indian Red||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||308||308||308|Scarce|||Excellent|66|154|105.5|Moderate||Excellent
Plantain||Ripe||||-||-||-|-|||-|88|176|127|Moderate||Excellent
Pumpkin||Local||||44||88||66|Scarce|||Excellent|55|132|66|Moderate||Excellent
Sorrel||Local||||286||330||330|Scarce|||Excellent|286|440|440|Moderate||Excellent
String Bean||Local||||-||-||-|-|||-|374|660|374|Moderate||Excellent
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Local||||550||770||605|Scarce|||Excellent|550|1320|880|Moderate||Excellent
Sweet Pepper (Red)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||176||176||176|Scarce|||Excellent|109|264|220|Moderate||Excellent
Thyme||Local||||-||-||-|-|||-|-|-|-|-||-
Tomatoes(Plummy)||Local||||-||-||-|-|||-|396|880|550|Moderate||Excellent
Tomatoes(Salad)||Local||||-||-||-|-|||-|550|880|660|Moderate||Excellent
Watermelon||Local||||-||-||-|-|||-|-|-|-|-||-
Yam||Negro||||-||-||-|-|||-|-|-|-|-||-
Yam||Sweet||||330||330||330|Scarce|||Excellent|330|330|330|Moderate||Excellent
Yam||White (Lucea)||||-||-||-|-|||-|-|-|-|-||-
Yam||Yellow||||176||330||253|Scarce|||Excellent|154|330|187|Moderate||Excellent
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||St. Elizabeth|||||||||Westmoreland|||||
||||||Low||High||Most Frequent|Supply|||Grade|Low|High|Most Frequent|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
Broccoli||Local||||770||990||880|Scarce|||Excellent|-|-|-|-||-
Cabbage (Green)||Local||||132||220||176|Scarce|||Excellent|220|330|264|Scarce||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||110||154||132|Moderate|||Excellent|110|132|132|Moderate||Excellent
Cantaloupe||Local||||176||220||198|Scarce|||Excellent|-|-|-|-||-
Carrot||Local||||330||440||396|Scarce|||Excellent|330|396|396|Scarce||Excellent
Cauliflower||Local||||660||880||770|Scarce|||Excellent|-|-|-|-||-
Coco||Local||||330||440||381.33|Moderate|||Excellent|330|396|330|Scarce||Excellent
Cucumber||Local||||154||198||176|Moderate|||Excellent|154|198|176|Moderate||Excellent
Dasheen||Local||||220||330||286|Moderate|||Excellent|286|330|330|Scarce||Excellent
Escallion||Local||||440||660||550|Scarce|||Excellent|-|-|-|-||-
Ginger||Local||||660||880||770|Moderate|||Excellent|-|-|-|-||-
Green Banana||Local||||66||110||88|Moderate|||Excellent|110|132|110|Moderate||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||330||374||352|Moderate|||Excellent|-|-|-|-||-
Honeydew Melon||Local||||176||220||198|Scarce|||Excellent|-|-|-|-||-
Irish Potato||Local||||330||396||363|Scarce|||Excellent|-|-|-|-||-
Lettuce||Iceberg (Local)||||880||1100||990|Scarce|||Excellent|-|-|-|-||-
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||1540||1760||1650|Scarce|||Excellent|-|-|-|-||-
Okra||Local||||220||330||280.5|Moderate|||Excellent|220|330|264|Scarce||Excellent
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||154||198||176|Moderate|||Excellent|-|-|-|-||-
Papaya||Local||||132||176||154|Moderate|||Excellent|154|198|176|Moderate||Excellent
Pepper||Scotch Bonnet||||330||550||440|Scarce|||Excellent|-|-|-|-||-
Pepper||West Indian Red||||132||176||154|Moderate|||Excellent|220|264|220|Scarce||Excellent
Pineapple||Cow Boy||||154||198||176|Moderate|||Excellent|220|220|220|Scarce||Excellent
Pineapple||MD 2||||198||242||220|Moderate|||Excellent|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||132||176||154|Moderate|||Excellent|154|198|176|Scarce||Excellent
Plantain||Ripe||||-||-||-|-|||-|-|-|-|-||-
Pumpkin||Local||||66||110||88|Moderate|||Excellent|176|220|176|Moderate||Excellent
Sorrel||Local||||330||440||378.4|Moderate|||Excellent|330|440|330|Scarce||Excellent
String Bean||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Green House (Local)||||770||1100||935|Moderate|||Excellent|-|-|-|-||-
Sweet Pepper (Green)||Local||||660||1110||825|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Green House (Local)||||880||1100||990|Moderate|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||176||308||242|Moderate|||Excellent|220|220|220|Scarce||Excellent
Thyme||Local||||660||880||770|Moderate|||Excellent|-|-|-|-||-
Tomatoes(Plummy)||Local||||440||660||550|Scarce|||Excellent|-|-|-|-||-
Tomatoes(Salad)||Local||||660||880||770|Scarce|||Excellent|-|-|-|-||-
Watermelon||Local||||154||220||187|Scarce|||Excellent|-|-|-|-||-
Yam||Negro||||-||-||-|-|||-|-|-|-|-||-
Yam||Sweet||||-||-||-|-|||-|-|-|-|-||-
Yam||White (Lucea)||||-||-||-|-|||-|330|330|330|Scarce||Excellent
Yam||Yellow||||220||330||286|Moderate|||Excellent|220|264|242|Scarce||Excellent
||||||||||||||||||||
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||Hanover|||||||||St. James|||||
||||||Low||High||Most Frequent|Supply|||Grade|Low|High|Most Frequent|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|-|-|-|-||-
||||||||||||||||||||
Cabbage (Green)||Local||||264||396||330|Moderate|||Excellent|198|220|198|Scarce||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||110||154||121|Moderate|||Excellent|154|176|154|Scarce||Excellent
Cantaloupe||Local||||-||-||-|-|||-|-|-|-|-||-
Carrot||Local||||550||660||550|Scarce|||Excellent|-|-|-|-||-
Cauliflower||Local||||-||-||-|-|||-|-|-|-|-||-
Coco||Local||||198||330||220|Moderate|||Excellent|-|-|-|-||-
Cucumber||Local||||132||176||154|Moderate|||Excellent|-|-|-|-||-
Dasheen||Local||||176||264||209|Moderate|||Excellent|308|330|330|Fair||Excellent
Escallion||Local||||-||-||-|-|||-|-|-|-|-||-
Ginger||Local||||440||660||550|Moderate|||Excellent|308|352|330|Moderate||Excellent
Green Banana||Local||||132||154||154|Moderate|||Excellent|66|77|77|Moderate||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Iceberg (Local)||||-||-||-|-|||-|770|880|880|Scarce||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||-||-||-|-|||-|-|-|-|-||-
Okra||Local||||220||264||220|Moderate|||Excellent|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||110||220||132|Moderate|||Excellent|220|264|220|Scarce||Excellent
Papaya||Local||||-||-||-|-|||-|132|154|154|Scarce||Excellent
Pepper||Scotch Bonnet||||440||990||990|Moderate|||Excellent|-|-|-|-||-
Pepper||West Indian Red||||330||550||440|Moderate|||Excellent|-|-|-|-||-
Pineapple||Cow Boy||||154||220||176|Moderate|||Excellent|176|198|176|Scarce||Excellent
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|176|198|198|Scarce||Excellent
Plantain||Green||||132||220||165|Moderate|||Excellent|110|132|132|Moderate||Excellent
Plantain||Ripe||||-||-||-|-|||-|-|-|-|-||-
Pumpkin||Local||||55||88||77|Moderate|||Excellent|110|110|110|Moderate||Excellent
Sorrel||Local||||-||-||-|-|||-|330|440|440|Scarce||Excellent
String Bean||Local||||440||770||660|Moderate|||Excellent|-|-|-|-||-
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Local||||990||1320||1110|Moderate|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||154||220||176|Moderate|||Excellent|-|-|-|-||-
Thyme||Local||||-||-||-|-|||-|-|-|-|-||-
Tomatoes(Plummy)||Local||||550||779||660|Moderate|||Excellent|-|-|-|-||-
Tomatoes(Salad)||Local||||-||-||-|-|||-|660|770|660|Scarce||Excellent
Watermelon||Local||||-||-||-|-|||-|-|-|-|-||-
Yam||Negro||||-||-||-|-|||-|-|-|-|-||-
Yam||Sweet||||-||-||-|-|||-|-|-|-|-||-
Yam||White (Lucea)||||220||308||242|Moderate|||Excellent|-|-|-|-||-
Yam||Yellow||||220||308||264|Moderate|||Excellent|110|264|220|Moderate||Excellent
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||Trelawny|||||||||St. Ann|||||
||||||Low||High||Most Frequent|Supply|||Grade|Low|High|Most Frequent|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|-|-|-|-||-
Cabbage (Green)||Local||||220||264||242|Scarce|||Excellent|220|264|220|Moderate||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||-||-||-|-|||-|-|-|-|-||-
Cantaloupe||Local||||-||-||-|-|||-|-|-|-|-||-
Carrot||Local||||440||550||498.67|Scarce|||Good|396|440|418|Scarce||Excellent
Cauliflower||Local||||-||-||-|-|||-|-|-|-|-||-
Coco||Local||||220||264||242|Scarce|||Excellent|-|-|-|-||-
Cucumber||Local||||-||-||-|-|||-|-|-|-|-||-
Dasheen||Local||||-||-||-|-|||-|-|-|-|-||-
Escallion||Local||||-||-||-|-|||-|-|-|-|-||-
Ginger||Local||||660||726||696.67|Scarce|||Excellent|-|-|-|-||-
Green Banana||Local||||-||-||-|-|||-|44|66|55|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Iceberg (Local)||||660||770||718.67|Scarce|||Excellent|550|660|550|Moderate||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||-||-||-|-|||-|-|-|-|-||-
Okra||Local||||-||-||-|-|||-|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||-||-||-|-|||-|198|264|227.33|Moderate||Excellent
Papaya||Local||||110||132||121|Scarce|||Excellent|-|-|-|-||-
Pepper||Scotch Bonnet||||-||-||-|-|||-|440|550|491.33|Scarce||Excellent
Pepper||West Indian Red||||220||330||264|Scarce|||Excellent|176|220|198|Scarce||Excellent
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||-||-||-|-|||-|88|110|99|Moderate||Excellent
Plantain||Ripe||||-||-||-|-|||-|110|154|132|Moderate||Excellent
Pumpkin||Local||||110||132||121|Moderate|||Excellent|44|66|55|Moderate||Excellent
Sorrel||Local||||-||-||-|-|||-|-|-|-|-||-
String Bean||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Green House (Local)||||550||660||608.67|Scarce|||Excellent|440|660|550|Scarce||Excellent
Sweet Pepper (Green)||Local||||616||770||693|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||176||220||198|Moderate|||Excellent|176|220|198|Moderate||Excellent
Thyme||Local||||-||-||-|-|||-|-|-|-|-||-
Tomatoes(Plummy)||Local||||-||-||-|-|||-|550|550|550|Scarce||Excellent
Tomatoes(Salad)||Local||||-||-||-|-|||-|550|550|550|Scarce||Excellent
Watermelon||Local||||-||-||-|-|||-|-|-|-|-||-
Yam||Negro||||220||264||242|Moderate|||Excellent|-|-|-|-||-
Yam||Sweet||||550||594||572|Scarce|||Excellent|-|-|-|-||-
Yam||White (Lucea)||||-||-||-|-|||-|-|-|-|-||-
Yam||Yellow||||176||220||198|Moderate|||Excellent|176|220|198|Moderate||Excellent
||||||||||||||||||||
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||St. Mary|||||||||Portland|||||
||||||Low||High||Most Frequent|Supply|||Grade|Low|High|Most Frequent|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|-|-|-|-||-
Cabbage (Green)||Local||||110||154||132|Scarce|||Excellent|220|264|242|Scarce||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||44||110||88|Scarce|||Excellent|176|220|198|Scarce||Excellent
Cantaloupe||Local||||-||-||-|-|||-|-|-|-|-||-
Carrot||Local||||330||550||440|Scarce|||Excellent|-|-|-|-||-
Cauliflower||Local||||-||-||-|-|||-|-|-|-|-||-
Coco||Local||||264||286||275|Scarce|||Excellent|286|352|319|Scarce||Excellent
Cucumber||Local||||110||154||132|Scarce|||Excellent|-|-|-|-||-
Dasheen||Local||||-||-||-|-|||-|220|330|275|Scarce||Excellent
Escallion||Local||||-||-||-|-|||-|330|440|385|Scarce||Excellent
Ginger||Local||||-||-||-|-|||-|-|-|-|-||-
Green Banana||Local||||44||88||88|Fair|||Excellent|55|77|77|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Iceberg (Local)||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||-||-||-|-|||-|-|-|-|-||-
Okra||Local||||330||330||330|Scarce|||Excellent|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||132||176||132|Scarce|||Excellent|176|330|253|Scarce||Excellent
Papaya||Local||||110||154||143|Moderate|||Excellent|132|176|154|Scarce||Excellent
Pepper||Scotch Bonnet||||440||770||550|Scarce|||Excellent|220|440|330|Scarce||Excellent
Pepper||West Indian Red||||132||550||308|Moderate|||Excellent|143|374|258.5|Scarce||Excellent
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||220||220||220|Fair|||Excellent|176|220|198|Scarce||Excellent
Pineapple||Sugar Loaf||||176||220||198|Scarce|||Excellent|176|220|198|Scarce||Excellent
Plantain||Green||||77||99||88|Moderate|||Excellent|110|132|121|Scarce||Excellent
Plantain||Ripe||||-||-||-|-|||-|176|220|198|Scarce||Excellent
Pumpkin||Local||||66||132||66|Moderate|||Excellent|110|132|121|Scarce||Excellent
Sorrel||Local||||220||330||275|Scarce|||Excellent|440|550|495|Scarce||Excellent
String Bean||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Green)||Local||||550||770||660|Scarce|||Excellent|330|440|385|Scarce||Excellent
Sweet Pepper (Red)||Green House (Local)||||770||880||825|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||770||880||825|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||176||220||220|Scarce|||Excellent|-|-|-|-||-
Thyme||Local||||-||-||-|-|||-|-|-|-|-||-
Tomatoes(Plummy)||Local||||330||440||440|Moderate|||Excellent|-|-|-|-||-
Tomatoes(Salad)||Local||||550||550||550|Scarce|||Excellent|330|440|385|Scarce||Excellent
Watermelon||Local||||-||-||-|-|||-|-|-|-|-||-
Yam||Negro||||-||-||-|-|||-|-|-|-|-||-
Yam||Sweet||||-||-||-|-|||-|-|-|-|-||-
Yam||White (Lucea)||||-||-||-|-|||-|-|-|-|-||-
Yam||Yellow||||286||330||286|Scarce|||Excellent|220|440|220|Scarce||Excellent
||||||||||||||||||||
Prepared on 11/26/2020 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
||||||St. Thomas||||||||||||||
||||||Low||High||Most Frequent|Supply|||Grade||||||
Commodity||Variety / Source||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-||||||
Cabbage (Green)||Local||||330||440||388.67|Scarce|||Excellent||||||
Cabbage (Red)||Local||||-||-||-|-|||-||||||
Callaloo||Shredded||||-||-||-|-|||-||||||
Callaloo||Whole||||77||220||165|Moderate|||Excellent||||||
Cantaloupe||Local||||-||-||-|-|||-||||||
Carrot||Local||||308||660||359.33|Scarce|||Excellent||||||
Cauliflower||Local||||-||-||-|-|||-||||||
Coco||Local||||220||440||297|Scarce|||Excellent||||||
Cucumber||Local||||132||220||165|Scarce|||Excellent||||||
Dasheen||Local||||287||330||308.33|Scarce|||Excellent||||||
Escallion||Local||||264||330||300.67|Moderate|||Excellent||||||
Ginger||Local||||660||880||770|Scarce|||Excellent||||||
Green Banana||Local||||66||143||110|Moderate|||Excellent||||||
Gungo Peas||Dry||||-||-||-|-|||-||||||
Gungo Peas||Green||||-||-||-|-|||-||||||
Honeydew Melon||Local||||-||-||-|-|||-||||||
Irish Potato||Local||||-||-||-|-|||-||||||
Lettuce||Iceberg (Local)||||-||-||-|-|||-||||||
Lettuce||Other||||-||-||-|-|||-||||||
Lettuce||Romaine (Local)||||-||-||-|-|||-||||||
Okra||Local||||154||330||220|Moderate|||Excellent||||||
Onion||Local||||-||-||-|-|||-||||||
Pak Choi||Local||||154||220||176|Moderate|||Excellent||||||
Papaya||Local||||-||-||-|-|||-||||||
Pepper||Scotch Bonnet||||440||1100||715|Moderate|||Excellent||||||
Pepper||West Indian Red||||308||3963||1533.67|Scarce|||Excellent||||||
Pineapple||Cow Boy||||-||-||-|-|||-||||||
Pineapple||MD 2||||-||-||-|-|||-||||||
Pineapple||Sugar Loaf||||-||-||-|-|||-||||||
Plantain||Green||||77||154||132|Moderate|||Excellent||||||
Plantain||Ripe||||176||330||242|Moderate|||Excellent||||||
Pumpkin||Local||||66||220||77|Moderate|||Excellent||||||
Sorrel||Local||||330||550||440|Moderate|||Excellent||||||
String Bean||Local||||-||-||-|-|||-||||||
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-||||||
Sweet Pepper (Green)||Local||||330||550||495|Scarce|||Excellent||||||
Sweet Pepper (Red)||Green House (Local)||||-||-||-|-|||-||||||
Sweet Pepper (Red)||Local||||-||-||-|-|||-||||||
Sweet Pepper (Yellow)||Green House (Local)||||-||-||-|-|||-||||||
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-||||||
Sweet Potato||Local||||176||330||176|Moderate|||Excellent||||||
Thyme||Local||||550||770||605|Moderate|||Excellent||||||
Tomatoes(Plummy)||Local||||-||-||-|-|||-||||||
Tomatoes(Salad)||Local||||-||-||-|-|||-||||||
