"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending March 13, 2021"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Sweet Pepper (Green)||Local||||264||330||330|Moderate|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Green House (Local)||||660||660||660|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Pepper (Yellow)||Green House (Local)||||660||660||660|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Yellow)||Local||||-||-||-|-|||-|-|-|-|-||-
Sweet Potato||Local||||220||330||220|Scarce|||Excellent|-|-|-|-||-
Thyme||Local||||440||550||495|Moderate|||Excellent|880|1100|880|Fair||Excellent
Tomatoes(Plummy)||Local||||44||66||49.5|Fair|||Excellent|44|66|66|Fair||Excellent
Tomatoes(Salad)||Local||||88||132||132|Moderate|||Excellent|110|132|110|Fair||Excellent
Watermelon||Local||||176||220||176|Moderate|||Excellent|-|-|-|-||-
Yam||Negro||||-||-||-|-|||-|-|-|-|-||-
Yam||Sweet||||-||-||-|-|||-|-|-|-|-||-
Yam||White (Lucea)||||-||-||-|-|||-|-|-|-|-||-
Yam||Yellow||||198||242||198|Moderate|||Excellent|176|220|176|Fair||Excellent
||||||||||||||||||||
Prepared on 3/11/2021 by Agriculture Marketing Information Division||||||||||||||||||||
||||||||||||||||||||
