date|commodity|variety-source|region|store|price
september_04_2021|Ginger|Imported|red hills road|price smart|-
september_04_2021|Ginger|Imported|portmore|mega mart|-
september_04_2021|Ginger|Imported|portmore|hi-lo|-
september_04_2021|Ginger|Local|cross roads|sampars|1276
september_04_2021|Ginger|Local|cross roads|hi-lo|1328
september_04_2021|Ginger|Local|waterloo road|mega mart|895
september_04_2021|Ginger|Local|new kingston|John R Wong|1154.95
september_04_2021|Ginger|Local|halfway tree|Brooklyn|681.96
september_04_2021|Ginger|Local|halfway tree|hi-lo|1138
september_04_2021|Ginger|Local|washington boulevard|shopper's fair|726
september_04_2021|Ginger|Local|Duhaney Park|shopper's fair|726
september_04_2021|Ginger|Local|barbican road|Loshusan|660
september_04_2021|Ginger|Local|barbican road|hi-lo|1138
september_04_2021|Ginger|Local|constant spring|hi-lo|1138
september_04_2021|Ginger|Local|harbour view|shoppers fair|1154
september_04_2021|Ginger|Local|red hills road|lee's food|895
september_04_2021|Ginger|Local|red hills road|price smart|-
september_04_2021|Ginger|Local|portmore|mega mart|895
september_04_2021|Ginger|Local|portmore|hi-lo|1138
september_04_2021|Green Banana|Local|cross roads|sampars|145
september_04_2021|Green Banana|Local|cross roads|hi-lo|147
september_04_2021|Green Banana|Local|waterloo road|mega mart|145
september_04_2021|Green Banana|Local|new kingston|John R Wong|137.5
september_04_2021|Green Banana|Local|halfway tree|Brooklyn|204.6
september_04_2021|Green Banana|Local|halfway tree|hi-lo|147
september_04_2021|Green Banana|Local|washington boulevard|shopper's fair|172.5
september_04_2021|Green Banana|Local|Duhaney Park|shopper's fair|137.49
september_04_2021|Green Banana|Local|barbican road|Loshusan|145.5
september_04_2021|Green Banana|Local|barbican road|hi-lo|147
september_04_2021|Green Banana|Local|constant spring|hi-lo|147
september_04_2021|Green Banana|Local|harbour view|shoppers fair|179.99
september_04_2021|Green Banana|Local|red hills road|lee's food|138.88
september_04_2021|Green Banana|Local|red hills road|price smart|114.5
september_04_2021|Green Banana|Local|portmore|mega mart|145
september_04_2021|Green Banana|Local|portmore|hi-lo|147
september_04_2021|Gungo Peas|Dry|cross roads|sampars|870
september_04_2021|Gungo Peas|Dry|cross roads|hi-lo|838
september_04_2021|Gungo Peas|Dry|waterloo road|mega mart|675
september_04_2021|Gungo Peas|Dry|new kingston|John R Wong|-
september_04_2021|Gungo Peas|Dry|halfway tree|Brooklyn|692
september_04_2021|Gungo Peas|Dry|halfway tree|hi-lo|835
september_04_2021|Gungo Peas|Dry|washington boulevard|shopper's fair|660
september_04_2021|Gungo Peas|Dry|Duhaney Park|shopper's fair|824.9
september_04_2021|Gungo Peas|Dry|barbican road|Loshusan|960
september_04_2021|Gungo Peas|Dry|barbican road|hi-lo|838
september_04_2021|Gungo Peas|Dry|constant spring|hi-lo|838
september_04_2021|Gungo Peas|Dry|harbour view|shoppers fair|660
september_04_2021|Gungo Peas|Dry|red hills road|lee's food|-
september_04_2021|Gungo Peas|Dry|red hills road|price smart|-
september_04_2021|Gungo Peas|Dry|portmore|mega mart|1140
september_04_2021|Gungo Peas|Dry|portmore|hi-lo|838
september_04_2021|Gungo Peas|Green|cross roads|sampars|-
september_04_2021|Gungo Peas|Green|cross roads|hi-lo|-
september_04_2021|Gungo Peas|Green|waterloo road|mega mart|-
september_04_2021|Gungo Peas|Green|new kingston|John R Wong|-
september_04_2021|Gungo Peas|Green|halfway tree|Brooklyn|-
september_04_2021|Gungo Peas|Green|halfway tree|hi-lo|-
september_04_2021|Gungo Peas|Green|washington boulevard|shopper's fair|-
september_04_2021|Gungo Peas|Green|Duhaney Park|shopper's fair|-
september_04_2021|Gungo Peas|Green|barbican road|Loshusan|-
september_04_2021|Gungo Peas|Green|barbican road|hi-lo|1317
september_04_2021|Gungo Peas|Green|constant spring|hi-lo|-
september_04_2021|Gungo Peas|Green|harbour view|shoppers fair|-
september_04_2021|Gungo Peas|Green|red hills road|lee's food|-
september_04_2021|Gungo Peas|Green|red hills road|price smart|-
september_04_2021|Gungo Peas|Green|portmore|mega mart|-
september_04_2021|Gungo Peas|Green|portmore|hi-lo|-
september_04_2021|Honeydew Melon|Local|cross roads|sampars|638
september_04_2021|Honeydew Melon|Local|cross roads|hi-lo|-
september_04_2021|Honeydew Melon|Local|waterloo road|mega mart|-
september_04_2021|Honeydew Melon|Local|new kingston|John R Wong|-
september_04_2021|Honeydew Melon|Local|halfway tree|Brooklyn|-
september_04_2021|Honeydew Melon|Local|halfway tree|hi-lo|-
september_04_2021|Honeydew Melon|Local|washington boulevard|shopper's fair|363
september_04_2021|Honeydew Melon|Local|Duhaney Park|shopper's fair|-
september_04_2021|Honeydew Melon|Local|barbican road|Loshusan|-
september_04_2021|Honeydew Melon|Local|barbican road|hi-lo|569
september_04_2021|Honeydew Melon|Local|constant spring|hi-lo|-
september_04_2021|Honeydew Melon|Local|harbour view|shoppers fair|-
september_04_2021|Honeydew Melon|Local|red hills road|lee's food|495
september_04_2021|Honeydew Melon|Local|red hills road|price smart|-
september_04_2021|Honeydew Melon|Local|portmore|mega mart|-
september_04_2021|Honeydew Melon|Local|portmore|hi-lo|-
september_04_2021|Irish Potato|Imported|cross roads|sampars|701.8
september_04_2021|Irish Potato|Imported|cross roads|hi-lo|647
september_04_2021|Irish Potato|Imported|waterloo road|mega mart|405
september_04_2021|Irish Potato|Imported|new kingston|John R Wong|-
september_04_2021|Irish Potato|Imported|halfway tree|Brooklyn|511.47
september_04_2021|Irish Potato|Imported|halfway tree|hi-lo|-
september_04_2021|Irish Potato|Imported|washington boulevard|shopper's fair|495
september_04_2021|Irish Potato|Imported|Duhaney Park|shopper's fair|-
september_04_2021|Irish Potato|Imported|barbican road|Loshusan|-
september_04_2021|Irish Potato|Imported|barbican road|hi-lo|-
september_04_2021|Irish Potato|Imported|constant spring|hi-lo|-
september_04_2021|Irish Potato|Imported|harbour view|shoppers fair|-
september_04_2021|Irish Potato|Imported|red hills road|lee's food|-
september_04_2021|Irish Potato|Imported|red hills road|price smart|251.65
september_04_2021|Irish Potato|Imported|portmore|mega mart|495
september_04_2021|Irish Potato|Imported|portmore|hi-lo|678
september_04_2021|Irish Potato|Local|cross roads|sampars|-
september_04_2021|Irish Potato|Local|cross roads|hi-lo|-
september_04_2021|Irish Potato|Local|waterloo road|mega mart|-
september_04_2021|Irish Potato|Local|new kingston|John R Wong|-
september_04_2021|Irish Potato|Local|halfway tree|Brooklyn|-
september_04_2021|Irish Potato|Local|halfway tree|hi-lo|862
september_04_2021|Irish Potato|Local|washington boulevard|shopper's fair|429
september_04_2021|Irish Potato|Local|Duhaney Park|shopper's fair|494.98
september_04_2021|Irish Potato|Local|barbican road|Loshusan|825
september_04_2021|Irish Potato|Local|barbican road|hi-lo|1129
september_04_2021|Irish Potato|Local|constant spring|hi-lo|1229
september_04_2021|Irish Potato|Local|harbour view|shoppers fair|-
september_04_2021|Irish Potato|Local|red hills road|lee's food|677
september_04_2021|Irish Potato|Local|red hills road|price smart|-
september_04_2021|Irish Potato|Local|portmore|mega mart|-
september_04_2021|Irish Potato|Local|portmore|hi-lo|-
september_04_2021|Lettuce|Iceberg (Imported)|cross roads|sampars|-
september_04_2021|Lettuce|Iceberg (Imported)|cross roads|hi-lo|-
september_04_2021|Lettuce|Iceberg (Imported)|waterloo road|mega mart|-
september_04_2021|Lettuce|Iceberg (Imported)|new kingston|John R Wong|-
